Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
ECs,Serping1,Sele,ECs,1,1,5.50665997833097,5.50665997833097,0.004153005876708902,0.004153005876708902,1,1,3.12570219519085,3.12570219519085,1.0,1.0,17.21217918243871,0.004153005876708902,17.21217918243871,0.004153005876708902
FAPs,Serping1,Sele,ECs,1,1,1200.68090417364,1200.68090417364,0.9055280098475663,0.9055280098475663,1,1,3.12570219519085,3.12570219519085,1.0,1.0,3752.970937899282,0.9055280098475663,3752.970937899282,0.9055280098475663
sCs,Serping1,Sele,ECs,1,1,119.758062174661,119.758062174661,0.09031898427572468,0.09031898427572468,1,1,3.12570219519085,3.12570219519085,1.0,1.0,374.3280378311403,0.09031898427572468,374.3280378311403,0.09031898427572468
ECs,Serping1,Lrp1,ECs,1,1,5.50665997833097,5.50665997833097,0.004153005876708902,0.004153005876708902,1,1,9.97966302114608,9.97966302114608,0.03351787194275784,0.03351787194275784,54.95461095577466,0.0001391999191530497,54.95461095577466,0.0001391999191530497
ECs,Serping1,Lrp1,FAPs,1,1,5.50665997833097,5.50665997833097,0.004153005876708902,0.004153005876708902,1,1,255.664805713016,255.664805713016,0.8586803181631695,0.8586803181631695,1407.859153487628,0.003566104407545912,1407.859153487628,0.003566104407545912
ECs,Serping1,Lrp1,sCs,1,1,5.50665997833097,5.50665997833097,0.004153005876708902,0.004153005876708902,1,1,32.0970775725202,32.0970775725202,0.1078018098940727,0.1078018098940727,176.7476924899815,0.0004477015500099397,176.7476924899815,0.0004477015500099397
FAPs,Serping1,Lrp1,ECs,1,1,1200.68090417364,1200.68090417364,0.9055280098475663,0.9055280098475663,1,1,9.97966302114608,9.97966302114608,0.03351787194275784,0.03351787194275784,11982.39081957792,0.03035137187465109,11982.39081957792,0.03035137187465109
FAPs,Serping1,Lrp1,FAPs,1,1,1200.68090417364,1200.68090417364,0.9055280098475663,0.9055280098475663,1,1,255.664805713016,255.664805713016,0.8586803181631695,0.8586803181631695,306971.8500888821,0.7775590796015699,306971.8500888821,0.7775590796015699
FAPs,Serping1,Lrp1,sCs,1,1,1200.68090417364,1200.68090417364,0.9055280098475663,0.9055280098475663,1,1,32.0970775725202,32.0970775725202,0.1078018098940727,0.1078018098940727,38538.34812110502,0.09761755837134531,38538.34812110502,0.09761755837134531
sCs,Serping1,Lrp1,ECs,1,1,119.758062174661,119.758062174661,0.09031898427572468,0.09031898427572468,1,1,9.97966302114608,9.97966302114608,0.03351787194275784,0.03351787194275784,1195.145104568578,0.003027300148953699,1195.145104568578,0.003027300148953699
sCs,Serping1,Lrp1,FAPs,1,1,119.758062174661,119.758062174661,0.09031898427572468,0.09031898427572468,1,1,255.664805713016,255.664805713016,0.8586803181631695,0.8586803181631695,30617.921698452,0.07755513415405357,30617.921698452,0.07755513415405357
sCs,Serping1,Lrp1,sCs,1,1,119.758062174661,119.758062174661,0.09031898427572468,0.09031898427572468,1,1,32.0970775725202,32.0970775725202,0.1078018098940727,0.1078018098940727,3843.883811554791,0.009736549972717412,3843.883811554791,0.009736549972717412
ECs,Serping1,Selp,ECs,1,1,5.50665997833097,5.50665997833097,0.004153005876708902,0.004153005876708902,1,1,7.69417104994304,7.69417104994304,1.0,1.0,42.36918378715411,0.004153005876708902,42.36918378715411,0.004153005876708902
FAPs,Serping1,Selp,ECs,1,1,1200.68090417364,1200.68090417364,0.9055280098475663,0.9055280098475663,1,1,7.69417104994304,7.69417104994304,1.0,1.0,9238.244253112254,0.9055280098475663,9238.244253112254,0.9055280098475663
sCs,Serping1,Selp,ECs,1,1,119.758062174661,119.758062174661,0.09031898427572468,0.09031898427572468,1,1,7.69417104994304,7.69417104994304,1.0,1.0,921.4390149815553,0.09031898427572468,921.4390149815553,0.09031898427572468
ECs,Col1a2,Cd44,ECs,1,1,1.10573052631686,1.10573052631686,0.0008020768709054698,0.0008020768709054698,1,1,47.8227860038808,47.8227860038808,0.3806232427642833,0.3806232427642833,52.87911433800969,0.0003052890995502694,52.87911433800969,0.0003052890995502694
ECs,Col1a2,Cd44,FAPs,1,1,1.10573052631686,1.10573052631686,0.0008020768709054698,0.0008020768709054698,1,1,31.9201308328135,31.9201308328135,0.2540534486230001,0.2540534486230001,35.2950630658699,0.0002037703951142795,35.2950630658699,0.0002037703951142795
ECs,Col1a2,Cd44,sCs,1,1,1.10573052631686,1.10573052631686,0.0008020768709054698,0.0008020768709054698,1,1,45.9004507531747,45.9004507531747,0.3653233086127166,0.3653233086127166,50.75352956948898,0.000293017376240921,50.75352956948898,0.000293017376240921
