Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand expressing cells in condition 1,Ligand detection rate in condition 1,Ligand expression in condition 1,Ligand specificity in condition 1,Receptor expressing cells in condition 1,Receptor detection rate in condition 1,Receptor expression in condition 1,Receptor specificity in condition 1,Edge expression weight in condition 1,Edge specificity weight in condition 1,Ligand expressing cells in condition 2,Ligand detection rate in condition 2,Ligand expression in condition 2,Ligand specificity in condition 2,Receptor expressing cells in condition 2,Receptor detection rate in condition 2,Receptor expression in condition 2,Receptor specificity in condition 2,Edge expression weight in condition 2,Edge specificity weight in condition 2,Delta ligand expression,Fold change of ligand expression,Log2-transformed fold change of ligand expression,Delta ligand specificity,Fold change of ligand specificity,Log2-transformed fold change of ligand specificity,Delta receptor expression,Fold change of receptor expression,Log2-transformed fold change of receptor expression,Delta receptor specificity,Fold change of receptor specificity,Log2-transformed fold change of receptor specificity,Delta edge expression weight,Delta edge specificity weight,Fold change of edge expression weight,Log2-transformed fold change of edge expression weight,Fold change of edge specificity weight,Log2-transformed fold change of edge specificity weight
FAPs,St6gal1,Cd22,ECs,3.0,1.0,242.998698839473,0.1754989435209888,1.0,0.3333333333333333,1.6743778488937968,0.2849115346823782,406.8716386468284,0.05000167333370093,3.0,1.0,231.2038841592077,0.1891639554727026,3.0,1.0,2.396195802333664,0.5976075424111029,554.009776705532,0.1130458065428051,-11.794814680265318,1.0510147773821281,0.0717829538919442,0.013665011951713796,0.9277610160055797,-0.10817486865761784,0.7218179534398672,0.6987650371739713,-0.5171206703155896,0.31269600772872475,0.4767535790008209,-1.0686843259615917,147.1381380587036,0.06304413320910418,1.361632819992209,0.4453377164236448,2.2608404680451497,1.1768591946192093
FAPs,Ltb,Ltbr,FAPs,3.0,1.0,6.921638931924898,0.1412015375551144,3.0,1.0,323.31822805309633,0.3534100075812777,2237.892034693284,0.04990203645784103,3.0,1.0,9.067228015387187,0.2429861031615528,3.0,1.0,336.022609943725,0.343567232849375,3046.7936226852644,0.08348206308406746,2.145589083462289,0.7633687958633885,-0.38954788000435364,0.10178456560643842,0.5811095190955613,-0.7831180073916567,12.704381890628667,0.9621918837760461,-0.0556034647516107,-0.009842774731902704,1.0286487586440407,0.04075044514051378,808.9015879919803,0.033580026626226424,1.3614569315462284,0.4451513447559644,1.672918963028613,0.7423675622511431
ECs,Ntf3,Ngfr,ECs,3.0,1.0,391.98343788263367,0.5251164170841954,3.0,1.0,1.909006142529206,0.009620762932023193,748.2987906876633,0.005052020560480458,3.0,1.0,430.19452134093535,0.5457635151383718,2.0,0.6666666666666666,2.36762351958418,0.02261938465675497,1018.538666723057,0.012344834880537541,38.21108345830169,0.9111771964477928,-0.13419645295914717,0.020647098054176416,0.9621684163901253,-0.05563865180186257,0.4586173770549742,0.806296324875367,-0.3106179486138435,0.012998621724731776,0.42533265506628554,-1.233336472245223,270.23987603539365,0.007292814320057083,1.361138998750822,0.44481440157299007,2.443544069694665,1.2889751240470846
ECs,Calr,Itgav,FAPs,3.0,1.0,2008.287483735837,0.3354404431086659,3.0,1.0,2383.286765624054,0.49133255242690704,4786324.981556051,0.1648128090997935,3.0,1.0,2215.929406574383,0.3372881593671326,3.0,1.0,2939.3393640931126,0.5491294570419388,6513368.532795577,0.1852148638199485,207.64192283854595,0.9062957862184153,-0.1419461178306051,0.0018477162584666917,0.9945218466549978,-0.007925031807584706,556.0525984690585,0.8108239540960185,-0.3025393840486935,0.057796904615031786,0.8947481256489621,-0.16044647845277696,1727043.551239526,0.020402054720154994,1.3608287272374175,0.4444855018792996,1.1237892541944456,0.16837151026036193
FAPs,Wnt5a,Fzd8,ECs,3.0,1.0,532.2232487934956,0.9595750818182526,3.0,1.0,522.253566697338,0.3473840529256756,277955.48996164784,0.3333410810085114,3.0,1.0,641.108572871923,0.9372147388571792,3.0,1.0,589.8835397672827,0.3921658147993496,378179.3943408409,0.3675435817058853,108.8853240784274,0.8301608671513119,-0.2685371683630562,-0.022360342961073365,1.0238582920583805,0.03401605177159283,67.62997306994475,0.8853502962692844,-0.1756797123467844,0.044781761873674,0.8858091139417992,-0.17493225393982248,100223.90437919309,0.034202500697373905,1.3605753726721568,0.44421688070984044,1.1026051172387619,0.1409162021682294
FAPs,Pcsk9,Vldlr,ECs,3.0,1.0,62.46227370744361,0.6081825579149093,3.0,1.0,54.6663756284839,0.0220012794395565,3414.586117100286,0.013380794406950171,3.0,1.0,69.21028240019629,0.6173586522657039,3.0,1.0,67.10513405700958,0.03750567084561828,4644.3652785886625,0.023154450405572,6.748008692752684,0.9024999110141827,-0.1480013051362004,0.009176094350794584,0.985136525879862,-0.02160441949508532,12.43875842852568,0.8146377530822269,-0.2957694196051882,0.01550439140606178,0.5866120760809393,-0.7695213239582687,1229.7791614883763,0.009773655998621828,1.36015467740867,0.4437707247413885,1.730424196155742,0.7911257434533541
ECs,Icam2,Itgal,ECs,3.0,1.0,668.7078140565151,0.9559143697541764,3.0,1.0,12.086635933295689,0.1370064833805734,8082.427894251087,0.1309664662129769,3.0,1.0,632.2024670165192,0.9421291452369248,3.0,1.0,17.38768798435597,0.2657144956066496,10992.53923942333,0.2503373706229534,-36.505347039995854,1.0577431265212731,0.08098931073241765,-0.013785224517251615,1.0146319903029695,0.020956552989413704,5.301052051060282,0.6951261113133765,-0.524653356387308,0.12870801222607622,0.5156153903752052,-0.9556327681804095,2910.111345172242,0.11937090440997652,1.3600541054306419,0.44366404565488976,1.9114615967102317,0.9346762151909955
ECs,Fgf7,Fgfr3,FAPs,1.0,0.3333333333333333,1.51238594811943,0.002899725757834148,3.0,1.0,45.847570543448725,0.08704687581792847,69.33922144532616,0.0002524120679482376,1.0,0.3333333333333333,1.6794540081403568,0.003752817715561422,3.0,1.0,56.12440442181627,0.1042464479668708,94.25835596070971,0.0003912179167144245,0.1670680600209269,0.9005223964388761,-0.151165937768028,0.0008530919577272741,0.7726796177203477,-0.3720577528439861,10.276833878367547,0.8168918853707637,-0.2917829427840115,0.017199572148942327,0.8350104729284561,-0.26013380251361296,24.919134515383547,0.00013880584876618687,1.3593800737297324,0.44294888055203935,1.5499176402082802,0.6321915553575983
FAPs,Fn1,Itga2b,MuSCs,3.0,1.0,26453.95396978287,0.9205467298753338,3.0,1.0,56.24842316233875,0.2528642712229088,1487993.1972093782,0.2327733779765582,3.0,1.0,32473.90490686003,0.8795213390118256,3.0,1.0,62.243897650683365,0.274045998902998,2021302.41334062,0.2410293039059981,6019.950937077159,0.8146218955083082,-0.29579750308871827,-0.041025390863508204,1.046645134169913,0.06577237832011368,5.9954744883446125,0.9036777143682166,-0.14611975010531056,0.021181727680089246,0.9227074003456377,-0.1160548673785778,533309.2161312418,0.008255925929439911,1.3584083698308729,0.4419172531940285,1.0354676552843227,0.05028248905846383
ECs,Bmp7,Eng,FAPs,1.0,0.3333333333333333,0.9074315688716568,0.005296855086971125,3.0,1.0,1179.671223863633,0.06857306269995808,1070.470909423324,0.0003632215759914628,2.0,0.6666666666666666,1.03214771058678,0.01385992651543025,3.0,1.0,1407.819436383583,0.09412331873617184,1453.077608182887,0.001304542281071761,0.12471614171512324,0.879168320158147,-0.18578869355720184,0.008563071428459124,0.3821705029297333,-1.387711663822711,228.14821251995,0.8379421347484598,-0.2550774748217448,0.02555025603621376,0.7285448879269625,-0.4569102309097732,382.60669875956296,0.0009413207050802982,1.3574190530461756,0.4408661683789472,3.591588075435318,1.8446218947324844
