Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
MuSCs,Psap,Gpr37,FAPs,3.0,1.0,3672.5628812490995,0.226195380514535,1.0,0.3333333333333333,0.4914284588763867,0.1406564959392342,1804.801916858868,0.03181584962081622
ECs,Gdf6,Bmpr1a,FAPs,1.0,0.3333333333333333,0.9074315688716568,0.019401292855737717,3.0,1.0,1957.371394153467,0.4159066054319771,1776.180595061182,0.008069125852621544
MuSCs,Fgf5,Fgfr3,ECs,1.0,0.3333333333333333,3.980859637229934,1.0,3.0,1.0,435.7419709150574,0.8273061534407149,1734.6276242627719,0.8273061534407149
MuSCs,Prn,Rpsa,MuSCs,2.0,0.6666666666666666,1.7307380174701028,0.6692410328514532,3.0,1.0,981.576145874784,0.3013427612033875,1698.851152707269,0.2016709407500639
FAPs,Zp3,Mertk,MuSCs,1.0,0.3333333333333333,1.04101401369093,0.3778596372180772,3.0,1.0,1588.94343618522,0.6029752804260647,1654.112384031034,0.2278400207132612
MuSCs,Osm,Osmr,MuSCs,1.0,0.3333333333333333,0.7911466134879167,0.09996705081434804,3.0,1.0,2089.43891412141,0.2389065579265585,1653.052520997024,0.023882784016125258
MuSCs,App,Fpr2,MuSCs,3.0,1.0,2672.6753323421804,0.1280090964230134,1.0,0.3333333333333333,0.6124399441892233,0.3839034344013466,1636.853131375559,0.04914313175140797
FAPs,Icam1,Itgax,MuSCs,3.0,1.0,657.0403071653183,0.518011481618826,1.0,0.3333333333333333,2.37343984046375,0.7026030439229364,1559.445641816706,0.3639564437724174
MuSCs,Fn1,Mag,FAPs,3.0,1.0,1192.878897778123,0.04150989185742342,1.0,0.3333333333333333,1.3012675171136632,0.02031321537723945,1552.2545615290219,0.0008431993735857603
FAPs,Cxcl1,Cxcr2,MuSCs,3.0,1.0,1761.427081110603,0.6375393086914345,2.0,0.6666666666666666,0.8402858563850684,0.2006992869373921,1480.1022633108748,0.1279536846489288
MuSCs,Gnai2,Adora1,ECs,3.0,1.0,1435.91865127104,0.2100772921821384,1.0,0.3333333333333333,1.0046267093362768,0.01510399836635054,1442.5622295010098,0.003173007077926363
ECs,Tdgf1,Acvr2a,FAPs,2.0,0.6666666666666666,0.938303881187166,0.6207533081296494,3.0,1.0,1532.665219006003,0.3433759656214551,1438.105723553911,0.21315176659173102
FAPs,Cdh1,Ptprm,FAPs,1.0,0.3333333333333333,1.8217745239591296,0.021277984670052368,3.0,1.0,779.8127582725828,0.07042634313814315,1420.643016479291,0.001498530649661258
ECs,Fn1,Mag,FAPs,3.0,1.0,1090.3872118209931,0.037943378267242714,1.0,0.3333333333333333,1.3012675171136632,0.02031321537723945,1418.8854598187938,0.0007707520148825679
ECs,Fgf15,Fgfr1,FAPs,1.0,0.3333333333333333,0.33487556977876,1.0,3.0,1.0,4223.586729010611,0.6127341926267847,1414.3760123874372,0.6127341926267847
MuSCs,Prn,Rpsa,ECs,2.0,0.6666666666666666,1.7307380174701028,0.6692410328514532,3.0,1.0,809.1866060529213,0.2484193684021038,1400.4900223233951,0.1662524346897296
ECs,Gnai2,Oprd1,ECs,3.0,1.0,4151.290796307433,0.6073407631950068,1.0,0.3333333333333333,0.33487556977876,1.0,1390.165870730774,0.6073407631950068
FAPs,Edn2,Ednrb,MuSCs,1.0,0.3333333333333333,0.3488560931282167,1.0,3.0,1.0,3929.459986052607,0.6177798019897671,1370.816058837969,0.6177798019897671
ECs,Fgf17,Fgfr3,ECs,2.0,0.6666666666666666,3.12196703670348,0.213218992904233,3.0,1.0,435.7419709150574,0.8273061534407149,1360.372069705016,0.1763973848601041
FAPs,Cxcl1,Cxcr2,FAPs,3.0,1.0,1761.427081110603,0.6375393086914345,2.0,0.6666666666666666,0.7662212362836601,0.1830092159589398,1349.642835712085,0.1166755690266239
MuSCs,Sost,Lrp4,FAPs,3.0,1.0,3.6082719417899667,0.2306082427624917,3.0,1.0,371.06185103100717,0.3144896849866597,1338.892065743831,0.07252391362170317
ECs,Icam1,Itgax,MuSCs,3.0,1.0,555.1404159604032,0.4376734672775324,1.0,0.3333333333333333,2.37343984046375,0.7026030439229364,1317.592380292039,0.3075107103534999
ECs,Fgf23,Fgfr1,FAPs,1.0,0.3333333333333333,0.302477189623886,0.3809989136558991,3.0,1.0,4223.586729010611,0.6127341926267847,1277.53864392387,0.2334510617506294
ECs,Gnai2,Cxcr1,MuSCs,3.0,1.0,4151.290796307433,0.6073407631950068,1.0,0.3333333333333333,0.3062199720946117,1.0,1271.2081518018801,0.6073407631950068
MuSCs,Zp3,Mertk,MuSCs,1.0,0.3333333333333333,0.7911466134879167,0.2871645995417008,3.0,1.0,1588.94343618522,0.6029752804260647,1257.08721856179,0.1731531549370956
FAPs,Gnai2,Adora1,ECs,3.0,1.0,1247.9826684075301,0.1825819446228548,1.0,0.3333333333333333,1.0046267093362768,0.01510399836635054,1253.756721470962,0.002757717393308703
MuSCs,Apoe,Lrp2,ECs,3.0,1.0,985.708226018317,0.2883193691954899,1.0,0.3333333333333333,1.27165338312656,0.6263948191777434,1253.479200391873,0.18060175913265
ECs,Rspo1,Lrp6,FAPs,1.0,0.3333333333333333,0.33487556977876,0.008719178176172791,3.0,1.0,3731.151178086167,0.4320404096439841,1249.471376692297,0.003767037310992578
MuSCs,S100a9,Tlr4,FAPs,1.0,0.3333333333333333,1.335164710726147,0.5118821090925383,3.0,1.0,922.0241255218581,0.6615765411439932,1231.05407483492,0.3386491952069337
ECs,Efnb2,Rhbdl2,FAPs,3.0,1.0,4698.1680026140275,0.8953991884537449,1.0,0.3333333333333333,0.2602535034227331,0.02402757441666091,1222.714682348884,0.02151427063319014
ECs,Sema3e,Plxnd1,MuSCs,1.0,0.3333333333333333,0.3179133457816397,0.001663749333184216,3.0,1.0,3819.1117072205298,0.21532986163509102,1214.146580756309,0.0003582549137100322
FAPs,Fgf23,Fgfr1,MuSCs,1.0,0.3333333333333333,0.4914284588763867,0.6190010863441009,3.0,1.0,2457.475026524124,0.3565166463695371,1207.673165011958,0.2206841914024991
MuSCs,Gnai2,Cxcr2,MuSCs,3.0,1.0,1435.91865127104,0.2100772921821384,2.0,0.6666666666666666,0.8402858563850684,0.2006992869373921,1206.582133582578,0.04216236274269335
