cell,cluster
Young.M2.D7_2,M2
Young.M2.D7_1,M2
Young.M2.D7_3,M2
Young.FAPs.D7_1,FAPs
Young.FAPs.D7_2,FAPs
Young.FAPs.D7_3,FAPs
Young.sCs.D7_3,sCs
Young.sCs.D7_1,sCs
Young.sCs.D7_2,sCs
Young.ECs.D7_2,ECs
Young.ECs.D7_1,ECs
Young.ECs.D7_3,ECs
