"Sample"	"Cell_type"
"Young.M2.D2_2"	"M2"
"Young.M2.D2_3"	"M2"
"Young.M1.D2_3"	"M1"
"Young.M2.D2_1"	"M2"
"Young.M1.D2_1"	"M1"
"Young.M1.D2_2"	"M1"
"Young.FAPs.D2_1"	"FAPs"
"Young.FAPs.D2_2"	"FAPs"
"Young.FAPs.D2_3"	"FAPs"
"Young.sCs.D2_1"	"sCs"
"Young.sCs.D2_2"	"sCs"
"Young.sCs.D2_3"	"sCs"
"Young.ECs.D2_1"	"ECs"
"Young.Neutro.D2_1"	"Neutro"
"Young.ECs.D2_2"	"ECs"
"Young.Neutro.D2_2"	"Neutro"
"Young.Neutro.D2_3"	"Neutro"
"Young.ECs.D2_3"	"ECs"
