Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
FAPs (3 cells),ECs (3 cells),9747390.939732041,123.94166314477546,882,11051.463650489843,0.14052342760178624
FAPs (3 cells),FAPs (3 cells),7193124.288976149,179.26031019396356,972,7400.333630633898,0.18442418744234934
FAPs (3 cells),M2 (3 cells),6481671.111988412,81.17792759774429,816,7943.224401946583,0.09948275440900035
FAPs (3 cells),sCs (3 cells),4681474.07852633,128.12059920950645,988,4738.334087577257,0.1296767198476786
ECs (3 cells),ECs (3 cells),2234736.182329708,66.5444647332351,687,3252.891095094189,0.09686239408040044
M2 (3 cells),M2 (3 cells),2142333.7294555614,60.03948175106097,653,3280.756094112651,0.09194407618845478
M2 (3 cells),ECs (3 cells),2023480.25214801,45.639774746598164,649,3117.8432236487056,0.07032322765269362
M2 (3 cells),FAPs (3 cells),1854069.789653519,53.883194712433905,695,2667.726316048229,0.0775297765646531
ECs (3 cells),M2 (3 cells),1444364.7639922884,49.274617015233375,664,2175.248138542603,0.0742087605651105
ECs (3 cells),FAPs (3 cells),1069322.4091657386,67.54098783238989,737,1450.91235979069,0.09164313138723187
sCs (3 cells),ECs (3 cells),1000866.628790941,54.29400038128066,851,1176.106496816617,0.0638002354656647
sCs (3 cells),M2 (3 cells),962007.6861819939,34.075498493277095,790,1217.731248331638,0.04313354239655329
sCs (3 cells),FAPs (3 cells),862901.3258238389,85.68695541138959,942,916.0311314478121,0.09096279767663439
M2 (3 cells),sCs (3 cells),846811.4024826274,33.93371888088435,700,1209.730574975182,0.04847674125840621
ECs (3 cells),sCs (3 cells),718959.6570664042,47.98703902513117,741,970.2559474580354,0.06475983674106771
sCs (3 cells),sCs (3 cells),582928.753110115,65.72544865487306,958,608.4851285074269,0.06860694014078608
