Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
ECs,Agt,Mas1,ECs,1.0,12.04813328178333,0.08534918448843068,1.0,59.8808811360062,0.4023664425898093,721.4528369572282,0.034341647740551186
ECs,Agt,Mas1,FAPs,1.0,12.04813328178333,0.08534918448843068,1.0,27.743259395338804,0.1864193775538237,334.2544868661296,0.01591074184705971
ECs,Agt,Mas1,MuSCs,1.0,12.04813328178333,0.08534918448843068,1.0,61.19761694571057,0.4112141798563671,737.3170454894432,0.03509679490081979
FAPs,Agt,Mas1,ECs,1.0,116.431639662945,0.8248037485531762,1.0,59.8808811360062,0.4023664425898093,6972.029175127114,0.3318733501400811
FAPs,Agt,Mas1,FAPs,1.0,116.431639662945,0.8248037485531762,1.0,27.743259395338804,0.1864193775538237,3230.1931809937,0.1537594014093436
FAPs,Agt,Mas1,MuSCs,1.0,116.431639662945,0.8248037485531762,1.0,61.19761694571057,0.4112141798563671,7125.338884453909,0.3391709970037516
MuSCs,Agt,Mas1,ECs,1.0,12.683067145635901,0.08984706695839312,1.0,59.8808811360062,0.4023664425898093,759.4732361878087,0.036151444709177034
MuSCs,Agt,Mas1,FAPs,1.0,12.683067145635901,0.08984706695839312,1.0,27.743259395338804,0.1864193775538237,351.86962174987605,0.01674923429742036
MuSCs,Agt,Mas1,MuSCs,1.0,12.683067145635901,0.08984706695839312,1.0,61.19761694571057,0.4112141798563671,776.1734848753523,0.03694638795179573
ECs,Agt,Agtr1a,ECs,1.0,12.04813328178333,0.08534918448843068,1.0,140.569565725576,0.07574936331250476,1693.6008632241421,0.006465146384240132
ECs,Agt,Agtr1a,FAPs,1.0,12.04813328178333,0.08534918448843068,1.0,418.23438389305227,0.2253758708847757,5038.943600168031,0.01923564678338546
ECs,Agt,Agtr1a,MuSCs,1.0,12.04813328178333,0.08534918448843068,1.0,1296.915485878867,0.6988747658027196,15625.41062907738,0.0596483913208051
FAPs,Agt,Agtr1a,ECs,1.0,116.431639662945,0.8248037485531762,1.0,140.569565725576,0.07574936331250476,16366.745024136919,0.06247835881067036
FAPs,Agt,Agtr1a,FAPs,1.0,116.431639662945,0.8248037485531762,1.0,418.23438389305227,0.2253758708847757,48695.71508008967,0.1858908631391997
FAPs,Agt,Agtr1a,MuSCs,1.0,116.431639662945,0.8248037485531762,1.0,1296.915485878867,0.6988747658027196,151001.9965251414,0.5764345266033062
MuSCs,Agt,Agtr1a,ECs,1.0,12.683067145635901,0.08984706695839312,1.0,140.569565725576,0.07574936331250476,1782.853240730359,0.006805858117594263
MuSCs,Agt,Agtr1a,FAPs,1.0,12.683067145635901,0.08984706695839312,1.0,418.23438389305227,0.2253758708847757,5304.4947735292435,0.02024936096219061
MuSCs,Agt,Agtr1a,MuSCs,1.0,12.683067145635901,0.08984706695839312,1.0,1296.915485878867,0.6988747658027196,16448.86618961667,0.06279184787860828
ECs,Agt,Agtr2,FAPs,1.0,12.04813328178333,0.08534918448843068,0.6666666666666666,9.021636975888427,0.8507823800510838,108.6938847053685,0.07261358231448609
FAPs,Agt,Agtr2,FAPs,1.0,116.431639662945,0.8248037485531762,0.6666666666666666,9.021636975888427,0.8507823800510838,1050.4039855465421,0.7017284962691268
MuSCs,Agt,Agtr2,FAPs,1.0,12.683067145635901,0.08984706695839312,0.6666666666666666,9.021636975888427,0.8507823800510838,114.42202752874451,0.0764403014674708
ECs,Serping1,Sele,ECs,1.0,336.58504027367934,0.010261601663043641,1.0,45.337518733227206,0.9752631229618376,15259.930568731968,0.01000776168449032
