Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
M1,B2m,Gm11127,M1,3.0,1.0,3713.149007333333,0.4102595844119969,1.0,0.3333333333333333,0.3298823333333333,0.8114887109536755,1224.902258553471,0.332921021310882
M2,B2m,Gm11127,M1,3.0,1.0,2536.667399,0.2802721115823448,1.0,0.3333333333333333,0.3298823333333333,0.8114887109536755,836.8017604727177,0.2274376545442217
FAPs,Fn1,Tnfrsf11b,sCs,3.0,1.0,1458.280985666667,0.7909348416823457,2.0,1.0,0.509813,0.1791673114565167,743.4506041456802,0.1417096691215116
FAPs,Col1a1,Cd93,FAPs,3.0,1.0,2518.056722,0.9680190120289646,1.0,0.3333333333333333,0.2899643333333333,0.0008688061226717,730.1466386902486,0.0008410208445134
FAPs,Col1a2,Cd93,FAPs,3.0,1.0,1964.941406333333,0.9646486427205408,1.0,0.3333333333333333,0.2899643333333333,0.0008688061226717,569.7629249265075,0.0008380926470225
FAPs,Col1a1,Ddr2,M1,3.0,1.0,2518.056722,0.9680190120289646,2.0,0.6666666666666666,0.2081363333333333,0.0026136900975032,524.0990932424327,0.0025301017059349
FAPs,Col3a1,Ddr2,M1,3.0,1.0,2384.33138,0.9611632266666732,2.0,0.6666666666666666,0.2081363333333333,0.0026136900975032,496.2659908848067,0.0025121828076229
FAPs,B2m,Gm11127,M1,3.0,1.0,1358.281941333333,0.1500742856441228,1.0,0.3333333333333333,0.3298823333333333,0.8114887109536755,448.0732161315698,0.1217835886046429
M1,Tff3,Cxcr4,M1,2.0,0.6666666666666666,1.703006,0.6542347142323977,3.0,1.0,229.146642,0.4752476713280717,390.238106205852,0.3109235244409335
ECs,B2m,Gm11127,M1,3.0,1.0,1175.531921666667,0.1298825435482203,1.0,0.3333333333333333,0.3298823333333333,0.8114887109536755,387.7872132272173,0.1053982178393299
M1,Tff3,Cxcr4,M2,2.0,0.6666666666666666,1.703006,0.6542347142323977,3.0,1.0,220.6895343333333,0.4577077209728135,375.8356011068726,0.2994482800326106
M1,Tff2,Cxcr4,M1,2.0,0.6666666666666666,1.516177,0.7596649313433594,3.0,1.0,229.146642,0.4752476713280717,347.426868227634,0.361028989610531
M1,Tff2,Cxcr4,M2,2.0,0.6666666666666666,1.516177,0.7596649313433594,3.0,1.0,220.6895343333333,0.4577077209728135,334.6043960969103,0.3477045044281379
M2,Thbs1,Tnfrsf11b,sCs,3.0,1.0,626.3728126666666,0.6015416194555684,2.0,1.0,0.509813,0.1791673114565167,319.3330027440313,0.1077765946870533
